TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.051871538162231445,[['UNKNOWN (TIMEOUT)']]
2,cat,1var,2deg,0.0032265186309814453,[['UNKNOWN (TIMEOUT)']]
3,dog,1var,2deg,0.003452301025390625,[['UNKNOWN (TIMEOUT)']]
4,house,1var,2deg,0.002920389175415039,[['UNKNOWN (TIMEOUT)']]
5,elephant,1var,2deg,0.003448009490966797,[['UNKNOWN (TIMEOUT)']]
6,squirrel,1var,2deg,0.0037450790405273438,[['UNKNOWN (TIMEOUT)']]
7,enigma,1var,2deg,0.0038907527923583984,"[['x', 7]]"
8,rabbit,1var,2deg,0.0029087066650390625,"[['x', (- 1)]]"
9,plate,1var,3deg,0.002789735794067383,[['UNKNOWN (TIMEOUT)']]
10,clown,1var,3deg,0.0042188167572021484,[['UNKNOWN (TIMEOUT)']]
11,nostalgia,1var,3deg,0.0032508373260498047,[['UNKNOWN (TIMEOUT)']]
12,heart,1var,3deg,0.003260374069213867,"[['x', (- 2)]]"
13,home,1var,3deg,0.003443002700805664,[['UNKNOWN (TIMEOUT)']]
14,terminate,1var,3deg,0.0023725032806396484,[['UNSAT']]
15,rose,1var,3deg,0.0036814212799072266,[['UNKNOWN (TIMEOUT)']]
16,truck,2var,2deg,0.003315448760986328,[['UNKNOWN (TIMEOUT)']]
17,unusual,2var,2deg,0.003916501998901367,[['UNKNOWN (TIMEOUT)']]
18,faint,2var,2deg,0.0036537647247314453,[['UNKNOWN (TIMEOUT)']]
19,machine,2var,2deg,0.003557443618774414,"[['x', 13], ['y', 7]]"
20,small,2var,2deg,0.0028302669525146484,[['UNKNOWN (TIMEOUT)']]
21,waste,2var,3deg,0.0021338462829589844,[['UNSAT']]
22,touch,2var,3deg,0.0033304691314697266,[['UNKNOWN (TIMEOUT)']]
23,moon,2var,3deg,0.0021514892578125,[['UNSAT']]
24,inertia,2var,3deg,0.003872394561767578,[['UNKNOWN (TIMEOUT)']]
25,email,2var,3deg,0.0031130313873291016,"[['x', 0], ['y', 0]]"
26,oblong,2var,3deg,0.0021848678588867188,"[['x', 0], ['y', 0]]"
27,forget,2var,3deg,0.0040569305419921875,[['UNKNOWN (TIMEOUT)']]
28,train,3var,2deg,0.0033750534057617188,[['UNKNOWN (TIMEOUT)']]
29,beast,3var,2deg,0.0039272308349609375,[['UNKNOWN (TIMEOUT)']]
30,doctor,3var,2deg,0.0031595230102539062,[['UNKNOWN (TIMEOUT)']]
31,vampire,3var,2deg,0.0034475326538085938,[['UNKNOWN (TIMEOUT)']]
32,robot,3var,3deg,0.004361867904663086,[['UNKNOWN (TIMEOUT)']]
33,professor,3var,3deg,0.004052877426147461,[['UNKNOWN (TIMEOUT)']]
34,titanium,3var,3deg,0.0031728744506835938,[['UNKNOWN (TIMEOUT)']]
35,bar,3var,3deg,0.003093242645263672,[['UNKNOWN (TIMEOUT)']]
36,tank,3var,3deg,0.003987312316894531,[['UNKNOWN (TIMEOUT)']]
37,western,3var,3deg,0.0032706260681152344,[['UNKNOWN (TIMEOUT)']]
38,motor,3var,3deg,0.0035953521728515625,[['UNKNOWN (TIMEOUT)']]
Totals: 38,n/a,0.1760399341583252s,"6 SAT, 3 UNSAT, 29 UNKNOWN"
